level,question_id,question_text,question_hint,question_answer,severity,unlock_status_xp_needed
3,L3_Q1,"In Marketverse, merchant islands collapse because transaction counts are inconsistent. Zero must determine how many transactions each merchant actually completed.","You must summarize activity per entity.","SELECT m.name, COUNT(t.id) AS total_transactions FROM merchants m JOIN transactions t ON m.id = t.merchant_id GROUP BY m.name;","normal",0
3,L3_Q2,"Pixel notices that some regions report impossible revenue totals. Zero must calculate the total revenue generated in each region to identify anomalies.","Group by location to reveal patterns.","SELECT r.region_name, SUM(t.amount) AS total_revenue FROM regions r JOIN merchants m ON r.id = m.region_id JOIN transactions t ON m.id = t.merchant_id GROUP BY r.region_name;","normal",150
3,L3_Q3,"Market officials want to know the average transaction value per merchant to detect price manipulation.","Averages reveal subtle corruption.","SELECT m.name, AVG(t.amount) AS avg_transaction FROM merchants m JOIN transactions t ON m.id = t.merchant_id GROUP BY m.name;","normal",300
3,L3_Q4,"Zero suspects some merchants appear powerful only because they have duplicate transaction entries. He must count distinct transaction IDs per merchant.","Duplicates distort reality.","SELECT m.name, COUNT(DISTINCT t.id) AS unique_transactions FROM merchants m JOIN transactions t ON m.id = t.merchant_id GROUP BY m.name;","normal",450
3,L3_Q5,"Nyx orders Zero to identify regions where total revenue exceeds safe economic thresholds so collapse can be prevented.","Groups must be judged, not just formed.","SELECT r.region_name, SUM(t.amount) AS total_revenue FROM regions r JOIN merchants m ON r.id = m.region_id JOIN transactions t ON m.id = t.merchant_id GROUP BY r.region_name HAVING SUM(t.amount) > 100000;","normal",600
3,L3_Q6,"Some merchant guilds grow unnaturally large. Zero must find how many merchants belong to each guild.","Counting members reveals imbalance.","SELECT g.guild_name, COUNT(m.id) AS merchant_count FROM guilds g JOIN merchants m ON g.id = m.guild_id GROUP BY g.guild_name;","normal",750
3,L3_Q7,"Pixel suspects that only a few merchants dominate entire regions. Zero must list merchants whose total revenue exceeds 50,000.","Filter after summarizing.","SELECT m.name, SUM(t.amount) AS total_revenue FROM merchants m JOIN transactions t ON m.id = t.merchant_id GROUP BY m.name HAVING SUM(t.amount) > 50000;","normal",900
3,L3_Q8,"Market regulators want regions sorted by economic power from strongest to weakest.","Order reveals dominance.","SELECT r.region_name, SUM(t.amount) AS total_revenue FROM regions r JOIN merchants m ON r.id = m.region_id JOIN transactions t ON m.id = t.merchant_id GROUP BY r.region_name ORDER BY total_revenue DESC;","normal",1050
3,L3_Q9,"Zero must identify merchants who operate in valid regions but have suspiciously low activity.","Joins plus grouping expose inactivity.","SELECT m.name, COUNT(t.id) AS total_transactions FROM merchants m JOIN regions r ON m.region_id = r.id LEFT JOIN transactions t ON m.id = t.merchant_id GROUP BY m.name HAVING COUNT(t.id) < 3;","normal",1200
3,L3_Q10,"To stabilize Marketverse dashboards, Nyx asks for a clean summary of each guild’s total revenue, excluding corrupted transactions.","Filter before trust.","SELECT g.guild_name, SUM(t.amount) AS total_revenue FROM guilds g JOIN merchants m ON g.id = m.guild_id JOIN transactions t ON m.id = t.merchant_id WHERE t.is_corrupted = 0 GROUP BY g.guild_name;","normal",1350
3,L3_BOSS1,"BOSS FIGHT: The Profit Eater Titan feeds on inflated group totals. To weaken it, Zero must calculate total revenue per guild, ignore corrupted transactions, exclude guilds with low activity, and reveal only those guilds whose revenue exceeds stability limits.","Multiple joins, grouping, and judgment are required.","SELECT g.guild_name, SUM(t.amount) AS total_revenue FROM guilds g JOIN merchants m ON g.id = m.guild_id JOIN transactions t ON m.id = t.merchant_id WHERE t.is_corrupted = 0 GROUP BY g.guild_name HAVING SUM(t.amount) > 200000;","boss",1700
3,L3_BOSS2,"FINAL BOSS: The Profit Eater reaches its final form, hiding behind fake clusters and duplicated transactions. To destroy it, Zero must identify real merchants in valid regions, exclude corrupted data, calculate each merchant’s total revenue, remove weak merchants, and sort the remaining threats from most to least dangerous.","Everything learned so far must work together.","SELECT m.name, SUM(t.amount) AS total_revenue FROM merchants m JOIN regions r ON m.region_id = r.id JOIN transactions t ON m.id = t.merchant_id WHERE t.is_corrupted = 0 GROUP BY m.name HAVING SUM(t.amount) > 75000 ORDER BY total_revenue DESC;","boss",2000
