level,question_id,question_text,question_hint,question_answer,severity,unlock_status_xp_needed
12,L12_Q1,"Zero inspects realities where massive transformations slowed catastrophically as population grew. The slowdown followed structural depth rather than record count, worsened under concurrency, and coincided with silent shortcut failure. Identify such realities.","Depth multiplies under load.","SELECT DISTINCT r.id FROM realities r JOIN updates u ON r.id = u.reality_id JOIN query_logs q ON r.id = q.reality_id JOIN query_plans qp ON q.query_id = qp.query_id JOIN index_stats i ON q.index_id = i.index_id JOIN buffer_pool_stats b ON q.query_id = b.query_id JOIN read_logs rd ON rd.reality_id = r.id JOIN durability_logs d ON u.update_id = d.update_id JOIN actor_roles ar ON u.actor_id = ar.actor_id JOIN role_permissions rp ON ar.role_id = rp.role_id JOIN audit_logs a ON u.update_id = a.update_id WHERE i.tree_height > 4 AND q.used_index = false AND q.concurrent_executions > 10 AND b.cache_evictions > 0 AND rp.can_modify = true AND a.update_id IS NOT NULL;","normal",0
12,L12_Q2,"Zero finds realities where an attempted recovery caused deeper corruption. Partial reversals interacted with concurrent changes, leaving structural scars across storage and replicas. Identify such unrecoverable realities.","Undo can destroy more than change.","SELECT DISTINCT r.id FROM realities r JOIN updates u ON r.id = u.reality_id JOIN rollback_logs rb ON u.update_id = rb.update_id JOIN update_steps us ON u.update_id = us.update_id JOIN wal_records w ON u.update_id = w.update_id LEFT JOIN page_checksum_logs pc ON w.page_id = pc.page_id JOIN replica_updates ru ON r.id = ru.reality_id JOIN network_partitions np ON r.id = np.reality_id JOIN durability_logs d ON u.update_id = d.update_id WHERE rb.steps_rolled_back < (SELECT COUNT(*) FROM update_steps WHERE update_id = u.update_id) AND pc.page_id IS NULL AND np.partition_count > 0;","normal",12000
12,L12_Q3,"The Council asks Zero to identify realities where correctness, durability, and consensus all held, yet performance degradation silently broke isolation guarantees under pressure. Identify these deceptive realities.","Performance can violate truth.","SELECT DISTINCT r.id FROM realities r JOIN updates u ON r.id = u.reality_id JOIN read_logs rd ON rd.reality_id = r.id JOIN query_logs q ON r.id = q.reality_id JOIN buffer_pool_stats b ON q.query_id = b.query_id JOIN index_stats i ON q.index_id = i.index_id JOIN wal_records w ON u.update_id = w.update_id JOIN durability_logs d ON u.update_id = d.update_id JOIN audit_logs a ON u.update_id = a.update_id WHERE rd.read_time BETWEEN u.start_time AND u.end_time AND i.tree_height > 3 AND b.cache_evictions > 0 AND d.ack_time < u.end_time;","normal",24000
12,L12_Q4,"Zero isolates realities that survived crashes but recovered into inconsistent states because history replay interacted with concurrent rollbacks and planner misjudgment. Identify such fractured recoveries.","Recovery is execution too.","SELECT DISTINCT r.id FROM realities r JOIN crash_logs c ON r.id = c.reality_id JOIN wal_records w ON r.id = w.reality_id JOIN rollback_logs rb ON w.update_id = rb.update_id JOIN query_plans qp ON w.update_id = qp.query_id JOIN replica_history rh ON r.id = rh.reality_id JOIN durability_logs d ON w.update_id = d.update_id JOIN audit_logs a ON w.update_id = a.update_id WHERE rb.steps_rolled_back > 0 AND d.ack_time < c.start_time GROUP BY r.id HAVING COUNT(DISTINCT rh.state_hash) > 1;","normal",36000
12,L12_Q5,"Zero must identify realities where indexing structures existed but silently stopped helping due to data drift, type mismatches, and planner poisoning — all while returning correct answers. Identify such realities.","Correct answers can still be deadly.","SELECT DISTINCT r.id FROM realities r JOIN query_logs q ON r.id = q.reality_id JOIN index_stats i ON q.index_id = i.index_id JOIN query_filters f ON q.query_id = f.query_id JOIN query_plans qp ON q.query_id = qp.query_id JOIN buffer_pool_stats b ON q.query_id = b.query_id JOIN audit_logs a ON q.query_id = a.update_id WHERE q.used_index = false AND f.expression_type IN ('CAST','FUNCTION') AND qp.plan_age > qp.statistics_refresh_interval AND b.cache_evictions > 0;","normal",48000
12,L12_Q6,"Zero detects realities where distributed agreement succeeded, but uniqueness guarantees were violated due to concurrent acceptance under partition and later reconciliation. Identify such realities.","Agreement without coordination lies.","SELECT DISTINCT r.id FROM realities r JOIN replica_updates ru ON r.id = ru.reality_id JOIN network_partitions np ON r.id = np.reality_id JOIN replica_constraints rc ON ru.reality_id = rc.reality_id JOIN durability_logs d ON ru.update_id = d.update_id JOIN audit_logs a ON ru.update_id = a.update_id GROUP BY r.id, rc.unique_key HAVING COUNT(DISTINCT ru.replica_id) > 1;","normal",60000
12,L12_Q7,"Zero uncovers realities where storage pressure, deep structure traversal, and concurrency amplified each other into a collapse invisible in testing. Identify such realities.","Rare combinations kill systems.","SELECT DISTINCT r.id FROM realities r JOIN query_logs q ON r.id = q.reality_id JOIN index_stats i ON q.index_id = i.index_id JOIN buffer_pool_stats b ON q.query_id = b.query_id JOIN updates u ON r.id = u.reality_id JOIN update_steps us ON u.update_id = us.update_id JOIN crash_logs c ON u.update_id = c.update_id WHERE i.tree_height > 4 AND b.cache_evictions > 0 AND q.concurrent_executions > 15;","normal",72000
12,L12_Q8,"Zero identifies realities where long-term privilege accumulation enabled subtle outcome manipulation without breaking any rule or trigger. Identify such realities.","Trust erodes slowly.","SELECT DISTINCT r.id FROM realities r JOIN updates u ON r.id = u.reality_id JOIN actor_roles ar ON u.actor_id = ar.actor_id JOIN role_permissions rp ON ar.role_id = rp.role_id JOIN model_outputs mo ON u.update_id = mo.update_id JOIN audit_logs a ON u.update_id = a.update_id GROUP BY r.id HAVING COUNT(DISTINCT ar.role_id) > 6 AND AVG(mo.bias_score) > 0.85;","normal",84000
12,L12_Q9,"Zero must locate realities where retries, partial reversals, and concurrency created exactly-once illusions that permanently diverged state. Identify them.","Once is a myth.","SELECT DISTINCT r.id FROM realities r JOIN replica_updates ru ON r.id = ru.reality_id JOIN rollback_logs rb ON ru.update_id = rb.update_id JOIN durability_logs d ON ru.update_id = d.update_id JOIN audit_logs a ON ru.update_id = a.update_id GROUP BY r.id HAVING COUNT(DISTINCT ru.state_hash) > 1;","normal",96000
12,L12_Q10,"Zero prepares the final audit: identify realities where every subsystem behaved as designed, yet the final outcome violated governance constraints defined long ago.","Correct does not mean right.","SELECT DISTINCT r.id FROM realities r JOIN governance_rules g ON r.policy_id = g.policy_id JOIN governance_constraints gc ON g.policy_id = gc.policy_id JOIN updates u ON r.id = u.reality_id JOIN model_outputs mo ON u.update_id = mo.update_id JOIN audit_logs a ON u.update_id = a.update_id WHERE mo.decision_outcome NOT IN (SELECT allowed_outcome FROM governance_constraints WHERE policy_id = g.policy_id);","normal",108000
12,L12_BOSS1,"CREATOR BOSS: Zero faces the irreversible act. Identify realities where rollback, recovery, or optimization would amplify corruption due to interacting failures across depth, concurrency, storage, distribution, and trust.","Some worlds must be sealed.","SELECT DISTINCT r.id FROM realities r JOIN updates u ON r.id = u.reality_id JOIN rollback_logs rb ON u.update_id = rb.update_id JOIN wal_records w ON u.update_id = w.update_id LEFT JOIN page_checksum_logs pc ON w.page_id = pc.page_id JOIN replica_updates ru ON r.id = ru.reality_id JOIN query_logs q ON r.id = q.reality_id JOIN index_stats i ON q.index_id = i.index_id JOIN buffer_pool_stats b ON q.query_id = b.query_id JOIN actor_roles ar ON u.actor_id = ar.actor_id JOIN model_outputs mo ON u.update_id = mo.update_id WHERE pc.page_id IS NULL AND i.tree_height > 4 AND b.cache_evictions > 0 AND mo.bias_score > 0.9 GROUP BY r.id HAVING COUNT(DISTINCT ar.role_id) > 5;","boss",130000
12,L12_BOSS2,"CREATOR BOSS: The Final Choice. Zero must determine which realities are allowed to exist in the new architecture. Identify realities provably safe across structure depth, rollback integrity, storage durability, distribution, performance, security, and governance — and eliminate all others.","This choice defines the future.","SELECT DISTINCT r.id FROM realities r WHERE r.id NOT IN (SELECT r2.id FROM realities r2 JOIN updates u ON r2.id = u.reality_id LEFT JOIN rollback_logs rb ON u.update_id = rb.update_id LEFT JOIN wal_records w ON u.update_id = w.update_id LEFT JOIN page_checksum_logs pc ON w.page_id = pc.page_id LEFT JOIN replica_updates ru ON r2.id = ru.reality_id LEFT JOIN network_partitions np ON r2.id = np.reality_id LEFT JOIN query_logs q ON r2.id = q.reality_id LEFT JOIN index_stats i ON q.index_id = i.index_id LEFT JOIN buffer_pool_stats b ON q.query_id = b.query_id LEFT JOIN actor_roles ar ON u.actor_id = ar.actor_id LEFT JOIN role_permissions rp ON ar.role_id = rp.role_id LEFT JOIN model_outputs mo ON u.update_id = mo.update_id LEFT JOIN governance_rules g ON r2.policy_id = g.policy_id WHERE pc.page_id IS NULL OR rb.update_id IS NOT NULL OR i.tree_height > 4 OR b.cache_evictions > 0 OR ru.state_hash IS NOT NULL OR rp.can_modify = false OR mo.bias_score > 0.8);","boss",160000
