level,question_id,question_text,question_hint,question_answer,severity,unlock_status_xp_needed
8,L8_X_Q1,"In the deepest chamber of the Dragon Database, Zero finds realities that remained logically correct yet slowed catastrophically as population grew. The slowdown followed structure height, not record count, and worsened under concurrent access. Identify such realities.","Depth hurts more than size.","SELECT DISTINCT r.id FROM realities r JOIN updates u ON r.id = u.reality_id JOIN query_logs q ON q.reality_id = r.id JOIN index_stats i ON q.index_id = i.index_id WHERE i.tree_height > 4 AND q.concurrent_executions > 10 AND q.execution_time_growth_rate > 2;","normal",0
8,L8_X_Q2,"Pixel observes that some identity lookups silently abandon fast paths because the truth is transformed before comparison, forcing full structure traversal while still returning correct results. Identify such deceptive lookups.","Structure breaks when truth is reshaped.","SELECT q.query_id FROM query_logs q JOIN query_filters f ON q.query_id = f.query_id WHERE f.expression_type IN ('FUNCTION','CAST','STRING_OP') AND q.used_index = false;","normal",1200
8,L8_X_Q3,"Nyx suspects that certain performance collapses only occur when multiple subsystems interact. Individually fast queries become catastrophic when joins, grouping, and ordering collide under load. Identify such queries.","Interactions multiply cost.","SELECT q.query_id FROM query_logs q JOIN query_plans p ON q.query_id = p.query_id WHERE p.join_count >= 4 AND p.group_by_count >= 1 AND p.order_by_count >= 1 AND q.concurrent_executions > 20;","normal",2400
8,L8_X_Q4,"Zero notices that some realities pass all tests yet fail in production because early executions trained the system to make bad decisions that persist even after data drift. Identify these poisoned realities.","First impressions lie forever.","SELECT DISTINCT r.id FROM realities r JOIN query_logs q ON r.id = q.reality_id JOIN query_plans p ON q.query_id = p.query_id WHERE q.first_run_rows < q.actual_rows / 20 AND p.plan_age > p.statistics_refresh_interval;","normal",3600
8,L8_X_Q5,"Pixel finds that some access paths exist only to reduce disk movement, not computation, yet their benefits vanish when memory pressure rises. Identify queries where page traversal dominates execution time.","Think in pages, not rows.","SELECT q.query_id FROM query_logs q JOIN buffer_pool_stats b ON q.query_id = b.query_id WHERE b.page_reads > q.row_reads AND b.cache_evictions > 0;","normal",4800
8,L8_X_Q6,"Nyx uncovers realities where correctness is preserved, but intermediate truth was exposed during massive multi-table transformations that also triggered slow paths. Identify such realities.","Performance failure can break isolation.","SELECT DISTINCT r.id FROM realities r JOIN updates u ON r.id = u.reality_id JOIN update_steps us ON u.update_id = us.update_id JOIN read_logs rd ON rd.reality_id = r.id JOIN query_logs q ON q.reality_id = r.id WHERE rd.read_time BETWEEN u.start_time AND u.end_time AND us.table_name IS NOT NULL AND q.used_index = false;","normal",6000
8,L8_X_Q7,"Zero discovers that some indexes silently stop helping because data distribution drifted, causing planners to choose paths that scale catastrophically with depth. Identify such indexes.","Statistics rot quietly.","SELECT i.index_id FROM index_stats i JOIN query_logs q ON i.index_id = q.index_id WHERE q.estimated_selectivity > 0.3 AND q.actual_selectivity < 0.01 AND i.tree_height > 3;","normal",7200
8,L8_X_Q8,"Pixel detects performance bugs that only manifest under concurrency, where each thread independently walks deep structures and amplifies IO. Identify such queries.","Concurrency multiplies depth.","SELECT q.query_id FROM query_logs q WHERE q.node_traversals * q.concurrent_executions > q.safe_node_budget;","normal",8400
8,L8_X_Q9,"Nyx suspects that some joins appear safe because test data never triggers the worst-case path. In production, rare value alignments cause explosions. Identify these queries.","Worst cases hide well.","SELECT q.query_id FROM query_plans q WHERE q.worst_case_cost > q.test_case_cost * 15;","normal",9600
8,L8_X_Q10,"Zero realizes some queries rely on accidental physical order preserved by storage rather than guaranteed structure, making them fast until a rebuild occurs. Identify such fragile queries.","Accidents are not contracts.","SELECT q.query_id FROM query_logs q WHERE q.relies_on_physical_order = true AND q.used_index = false;","normal",10800
8,L8_X_BOSS1,"BOSS FIGHT: The Index Dragon reveals its true form. To weaken it, Zero must identify realities where deep structure traversal, silent index failure, stale plans, cache thrashing, and concurrency amplification all occur together.","This is structural collapse.","SELECT DISTINCT r.id FROM realities r JOIN query_logs q ON r.id = q.reality_id JOIN query_plans p ON q.query_id = p.query_id JOIN index_stats i ON q.index_id = i.index_id JOIN buffer_pool_stats b ON q.query_id = b.query_id WHERE i.tree_height > 4 AND q.used_index = false AND p.plan_age > p.statistics_refresh_interval AND b.cache_evictions > 0 AND q.concurrent_executions > 10;","boss",12500
8,L8_X_BOSS2,"FINAL BOSS: The Dragon Core survives every correctness test yet melts reality in production. Zero must isolate realities where deep B+ tree traversal, broken selectivity assumptions, poisoned plans, concurrency amplification, cache collapse, and exposed intermediate truth all intersect.","This is why performance bugs survive tests.","SELECT DISTINCT r.id FROM realities r JOIN updates u ON r.id = u.reality_id JOIN read_logs rd ON rd.reality_id = r.id JOIN query_logs q ON q.reality_id = r.id JOIN query_plans p ON q.query_id = p.query_id JOIN index_stats i ON q.index_id = i.index_id JOIN buffer_pool_stats b ON q.query_id = b.query_id WHERE rd.read_time BETWEEN u.start_time AND u.end_time AND i.tree_height > 4 AND q.actual_selectivity < q.estimated_selectivity / 5 AND p.plan_age > p.statistics_refresh_interval AND q.concurrent_executions > 10 AND b.cache_evictions > 0;","boss",15000
