level,question_id,question_text,question_hint,question_answer,severity,unlock_status_xp_needed
10,L10_Q1,"After a massive network split, Zero finds realities where changes were accepted in multiple places at the same logical moment, yet their final states disagree once the network healed. Identify such realities.","Truth diverged during isolation.","SELECT DISTINCT r.id FROM realities r JOIN replica_updates ru ON r.id = ru.reality_id GROUP BY r.id, ru.logical_time HAVING COUNT(DISTINCT ru.replica_id) > 1 AND COUNT(DISTINCT ru.state_hash) > 1;","normal",0
10,L10_Q2,"Pixel notices that some updates appear twice in global history, even though they were initiated only once. These duplicates surfaced after retries during unstable communication. Identify such updates.","Retries without coordination duplicate truth.","SELECT update_id FROM replica_updates GROUP BY update_id HAVING COUNT(DISTINCT replica_id) > 1 AND COUNT(DISTINCT commit_sequence) > 1;","normal",2000
10,L10_Q3,"Nyx suspects realities where operations were applied in different orders across replicas, producing subtle but lasting divergence. Identify realities where replica operation order disagrees.","Order matters more than content.","SELECT r.id FROM realities r JOIN replica_updates ru ON r.id = ru.reality_id GROUP BY r.id HAVING COUNT(DISTINCT ru.apply_order) > 1;","normal",4000
10,L10_Q4,"Zero uncovers realities that accepted changes based on local clocks that drifted apart, making later reconciliation impossible. Identify replicas whose perceived time moved backward or jumped unexpectedly.","Time lies when clocks drift.","SELECT replica_id FROM replica_time_logs GROUP BY replica_id HAVING MAX(logical_time) < MAX(physical_time) OR MIN(physical_time) > MIN(logical_time);","normal",6000
10,L10_Q5,"Pixel finds realities that appeared stable locally but violated global uniqueness once replicas synchronized. Identify realities where the same unique identity was accepted independently.","Uniqueness breaks without coordination.","SELECT reality_id FROM replica_constraints GROUP BY reality_id, unique_key HAVING COUNT(DISTINCT replica_id) > 1;","normal",8000
10,L10_Q6,"Nyx identifies operations that were acknowledged to clients even though they never reached a majority of replicas. These operations vanished after leadership changed. Identify such updates.","Acknowledged does not mean agreed.","SELECT u.update_id FROM client_acks u JOIN replica_votes v ON u.update_id = v.update_id GROUP BY u.update_id HAVING COUNT(v.replica_id) < (SELECT COUNT(*)/2 FROM replicas);","normal",10000
10,L10_Q7,"Zero observes leadership oscillations where multiple replicas briefly believed they were in control, accepting conflicting changes. Identify such leadership conflicts.","Split authority fractures reality.","SELECT term FROM leadership_logs GROUP BY term HAVING COUNT(DISTINCT leader_id) > 1;","normal",12000
10,L10_Q8,"Pixel detects realities where reads returned values that were never globally agreed upon, due to reading from lagging replicas. Identify such unsafe reads.","Fast reads can lie.","SELECT r.read_id FROM read_logs r JOIN replica_states rs ON r.replica_id = rs.replica_id WHERE rs.is_fully_synced = false;","normal",14000
10,L10_Q9,"Nyx suspects that some operations claim to execute exactly once, but network retries caused multiple partial applications across replicas. Identify such illusions.","Exactly-once is fragile.","SELECT update_id FROM replica_updates GROUP BY update_id HAVING COUNT(*) > 1 AND COUNT(DISTINCT state_hash) > 1;","normal",16000
10,L10_Q10,"Zero prepares a global consistency audit: identify realities where partitions, retries, clock drift, and leadership changes all occurred during the same incident window.","Failure compounds.","SELECT DISTINCT r.id FROM realities r JOIN network_partitions p ON r.id = p.reality_id JOIN leadership_logs l ON p.start_time BETWEEN l.start_time AND l.end_time JOIN replica_time_logs t ON l.leader_id = t.replica_id WHERE t.clock_drift_detected = true;","normal",18000
10,L10_BOSS1,"BOSS FIGHT: The Consensus Hydra fractures reality by exploiting partitions, retries, and time drift. Zero must isolate realities where conflicting leaders accepted changes, acknowledgments lacked majority agreement, and replicas diverged permanently.","This is a consensus failure.","SELECT DISTINCT r.id FROM realities r JOIN replica_updates ru ON r.id = ru.reality_id JOIN leadership_logs l ON ru.term = l.term JOIN replica_votes v ON ru.update_id = v.update_id WHERE l.term IN (SELECT term FROM leadership_logs GROUP BY term HAVING COUNT(DISTINCT leader_id) > 1) GROUP BY r.id HAVING COUNT(DISTINCT ru.state_hash) > 1;","boss",20000
10,L10_BOSS2,"FINAL BOSS: The Distributed Overlord bends reality itself. Zero must identify realities where network partitions occurred, leaders conflicted, clocks drifted, updates were acknowledged without agreement, retries duplicated truth, and replicas never converged.","This is the limit of coordination.","SELECT DISTINCT r.id FROM realities r JOIN network_partitions p ON r.id = p.reality_id JOIN leadership_logs l ON p.start_time BETWEEN l.start_time AND l.end_time JOIN replica_time_logs t ON l.leader_id = t.replica_id JOIN client_acks a ON r.id = a.reality_id JOIN replica_votes v ON a.update_id = v.update_id JOIN replica_updates ru ON ru.update_id = a.update_id WHERE t.clock_drift_detected = true GROUP BY r.id HAVING COUNT(DISTINCT ru.state_hash) > 1 AND COUNT(DISTINCT v.replica_id) < (SELECT COUNT(*)/2 FROM replicas);","boss",23000
