level,question_id,question_text,question_hint,question_answer,severity,unlock_status_xp_needed
1,L1_Q1,"In Data District, Pixel finds a corrupted citizen terminal. The screen shows hundreds of attributes, but Nyx says you only need the citizen name and zone to restore the person. How do you extract only the necessary truth from the citizen records table?","Focus only on the fields that matter, not everything.","SELECT name, zone FROM citizens;","normal",0
1,L1_Q2,"A holographic board shows all citizens, but Zero notices that reading every detail slows the system. Nyx asks you to stabilize the district by viewing all citizen records in the simplest possible way. What query restores visibility?","Sometimes you need everything, even if it is messy.","SELECT * FROM citizens;","normal",50
1,L1_Q3,"A group of citizens flickers because their age values are missing. Pixel asks you to identify only those citizens whose age data is present so they can be stabilized.","You must filter out records with missing truth.","SELECT * FROM citizens WHERE age IS NOT NULL;","normal",100
1,L1_Q4,"Glitch creatures disguise themselves as citizens, but their threat_level is always above 5. Nyx orders you to isolate only the dangerous entities before they attack.","Filter reality using a condition.","SELECT * FROM citizens WHERE threat_level > 5;","normal",150
1,L1_Q5,"Zero observes that some citizens appear twice due to a display bug. Pixel suggests viewing each unique zone only once to reduce noise.","Remove duplicate values from your vision.","SELECT DISTINCT zone FROM citizens;","normal",200
1,L1_Q6,"Traffic in Data District freezes because citizens are rendered in random order. Nyx asks you to restore natural flow by arranging citizens from youngest to oldest.","Order restores movement.","SELECT * FROM citizens ORDER BY age ASC;","normal",250
1,L1_Q7,"Emergency responders must prioritize the most dangerous threats first. Pixel asks you to display citizens sorted by threat level from highest to lowest.","Descending order reveals priority.","SELECT * FROM citizens ORDER BY threat_level DESC;","normal",300
1,L1_Q8,"Zero wants the interface to show friendly column names so humans can understand the data stream better. Citizen names should appear as Identity and zones as Sector.","Rename fields for clarity.","SELECT name AS Identity, zone AS Sector FROM citizens;","normal",350
1,L1_Q9,"A diagnostic scan shows corrupted citizens only exist in Zone C. Nyx wants a clean list of affected identities.","Combine selection with filtering.","SELECT name FROM citizens WHERE zone = 'C';","normal",400
1,L1_Q10,"To prepare for deeper missions, Zero wants a clean, ordered snapshot of all non-corrupted citizens, sorted alphabetically by name.","Combine filtering and ordering.","SELECT * FROM citizens WHERE is_corrupted = 0 ORDER BY name ASC;","normal",450
1,L1_BOSS1,"BOSS FIGHT: Query Beast V1 begins forming from thousands of citizen records. Many are corrupted, many are fake, and the city is freezing. Nyx orders you to reveal only real citizens who belong to Zone A or Zone B, ignore corrupted entries, and present them in a calm, alphabetical order so the system can collapse the monster.","You must filter, combine conditions, and restore order.","SELECT * FROM citizens WHERE is_corrupted = 0 AND zone IN ('A','B') ORDER BY name ASC;","boss",600
1,L1_BOSS2,"FINAL BOSS: The Query Beast absorbs chaos itself. To destroy it, Zero must identify real citizens, ignore missing age data, exclude high-threat glitch entities, and rebuild the district timeline by ordering citizens from oldest to youngest. Only a perfectly structured truth will shatter the beast.","Use every basic skill together with precision.","SELECT * FROM citizens WHERE is_corrupted = 0 AND age IS NOT NULL AND threat_level <= 5 ORDER BY age DESC;","boss",800
