level,question_id,question_text,question_hint,question_answer,severity,unlock_status_xp_needed
4,L4_Q1,"In Census Core, citizens begin duplicating because address, zone, and region relationships are inconsistently wired. Zero must reconstruct each citizen’s full structural identity path to locate where corruption may begin.","Rebuild the entire ownership chain.","SELECT c.id, c.name, a.address_line, z.zone_name, r.region_name FROM citizens c JOIN addresses a ON c.address_id = a.id JOIN zones z ON a.zone_id = z.id JOIN regions r ON z.region_id = r.id;","normal",0
4,L4_Q2,"Pixel detects that some regions appear stable but hide massive redundancy inside their zones. Zero must calculate how many distinct addresses exist per region.","Redundancy hides in structure, not rows.","SELECT r.region_name, COUNT(DISTINCT a.id) AS address_count FROM regions r JOIN zones z ON r.id = z.region_id JOIN addresses a ON z.id = a.zone_id GROUP BY r.region_name;","normal",300
4,L4_Q3,"Nyx suspects citizens are assigned factions that do not align with their geographic region, creating transitive dependency corruption. Zero must expose such citizens.","Follow the dependency chain fully.","SELECT c.name FROM citizens c JOIN factions f ON c.faction_id = f.id JOIN addresses a ON c.address_id = a.id JOIN zones z ON a.zone_id = z.id JOIN regions r ON z.region_id = r.id WHERE f.region_id <> r.id;","normal",600
4,L4_Q4,"Some zones collapse under population pressure while others remain empty. Zero must report each region with total zones and total citizens to identify imbalance.","Summarize hierarchy, not flat data.","SELECT r.region_name, COUNT(DISTINCT z.id) AS zone_count, COUNT(c.id) AS citizen_count FROM regions r JOIN zones z ON r.id = z.region_id LEFT JOIN addresses a ON z.id = a.zone_id LEFT JOIN citizens c ON a.id = c.address_id GROUP BY r.region_name;","normal",900
4,L4_Q5,"Census Core integrity rules state that one address must belong to exactly one zone. Zero must identify addresses violating this rule.","One-to-many in the wrong direction.","SELECT a.id FROM addresses a JOIN zones z ON a.zone_id = z.id GROUP BY a.id HAVING COUNT(DISTINCT z.id) > 1;","normal",1200
4,L4_Q6,"Nyx orders a deep audit: list citizens whose role belongs to a different faction and whose faction belongs to a different region than their physical location.","Multiple dependency violations stack.","SELECT c.name FROM citizens c JOIN roles ro ON c.role_id = ro.id JOIN factions f ON c.faction_id = f.id JOIN addresses a ON c.address_id = a.id JOIN zones z ON a.zone_id = z.id JOIN regions r ON z.region_id = r.id WHERE ro.faction_id <> f.id OR f.region_id <> r.id;","normal",1500
4,L4_Q7,"Pixel notices that some regions show stable totals but hide structural duplication across zones. Zero must identify regions where multiple zones share the same address.","Hidden transitive duplication.","SELECT r.region_name FROM regions r JOIN zones z ON r.id = z.region_id JOIN addresses a ON z.id = a.zone_id GROUP BY r.region_name, a.address_line HAVING COUNT(DISTINCT z.id) > 1;","normal",1800
4,L4_Q8,"Census Core flags zones whose population density exceeds safe limits. Zero must calculate citizens per zone and report only dangerous zones.","Judge structure using numbers.","SELECT z.zone_name, COUNT(c.id) AS citizen_count FROM zones z JOIN addresses a ON z.id = a.zone_id JOIN citizens c ON a.id = c.address_id GROUP BY z.zone_name HAVING COUNT(c.id) > 500;","normal",2100
4,L4_Q9,"Zero suspects identity drift caused by partial dependencies between roles and regions. He must find roles that appear across multiple regions via citizens.","Roles should not leak across regions.","SELECT ro.role_name FROM roles ro JOIN citizens c ON ro.id = c.role_id JOIN addresses a ON c.address_id = a.id JOIN zones z ON a.zone_id = z.id JOIN regions r ON z.region_id = r.id GROUP BY ro.role_name HAVING COUNT(DISTINCT r.id) > 1;","normal",2400
4,L4_Q10,"To prepare the Core for future evolution, Zero must produce a clean census snapshot showing only citizens with fully consistent region, zone, faction, and role alignment.","Perfect structure only.","SELECT c.name, r.region_name, z.zone_name, f.faction_name, ro.role_name FROM citizens c JOIN addresses a ON c.address_id = a.id JOIN zones z ON a.zone_id = z.id JOIN regions r ON z.region_id = r.id JOIN factions f ON c.faction_id = f.id JOIN roles ro ON c.role_id = ro.id WHERE f.region_id = r.id AND ro.faction_id = f.id AND c.is_corrupted = 0;","normal",2700
4,L4_BOSS1,"BOSS FIGHT: The Anomaly King corrupts Census Core by exploiting transitive and partial dependencies. To weaken it, Zero must compute region-level population counts per faction, excluding corrupted citizens, and expose only region–faction pairs exceeding safe population thresholds.","Hierarchy plus aggregation reveals the king.","SELECT r.region_name, f.faction_name, COUNT(c.id) AS citizen_count FROM regions r JOIN zones z ON r.id = z.region_id JOIN addresses a ON z.id = a.zone_id JOIN citizens c ON a.id = c.address_id JOIN factions f ON c.faction_id = f.id WHERE c.is_corrupted = 0 GROUP BY r.region_name, f.faction_name HAVING COUNT(c.id) > 1000;","boss",3100
4,L4_BOSS2,"FINAL BOSS: The Anomaly King merges identities across regions, roles, and factions. To destroy it, Zero must isolate only structurally perfect citizens whose physical location, faction alignment, and role ownership all match, then order the survivors by region and zone to rebuild the blueprint of existence.","Only absolute structural integrity survives.","SELECT c.name, r.region_name, z.zone_name, f.faction_name, ro.role_name FROM citizens c JOIN addresses a ON c.address_id = a.id JOIN zones z ON a.zone_id = z.id JOIN regions r ON z.region_id = r.id JOIN factions f ON c.faction_id = f.id JOIN roles ro ON c.role_id = ro.id WHERE c.is_corrupted = 0 AND f.region_id = r.id AND ro.faction_id = f.id ORDER BY r.region_name, z.zone_name, c.name;","boss",3600
